Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Kevin Morillo","BOS","DSL",19,4,0,0.25,0,0,0.25,0,0.25,0,0.14285714,0,-0.005966058932244778,-0.03953998834729633,-0.7453635290348574,0.21646371483802795,-3.508945634900634,"sa3068792"
"Alessandro Rodriguez","NYY","DSL",17,5,0,0.4,0,0.2,0.2,0.2,0.4,0,0.14285714,0.333333333,-0.005966058932244778,-0.13166119430495601,-1.0139406201644072,0.19968886375427247,-20.229626736749378,"sa3068806"
"Hector Paulino","CHW","DSL",18,10,0,0.4,0,0.4,0.4,0.7,1.1,0.3,0.14285714,0.6,-0.017898176796734333,2.514199588261878,0.7496407365429754,0.4829735517501831,138.90390171043353,"sa3068836"
"Elisandro Ramirez","ATL","DSL",18,6,0,0.5,0,0,0.166666666,0,0.166666666,0,2.5,0,0.19403394404798746,-0.4837824306517168,-1.5425177416830582,0.14430914322535196,-40.71672292870955,"sa3068858"
"Wanderlin Padilla","MIA","DSL",18,7,0,0.285714285,0,0,0.142857142,0,0.142857142,0,0.14285714,0,-0.005966058932244778,-0.7059036518039269,-1.9410948480071588,0.12369355133601598,-57.349836218343306,"sa3068859"
"Samuel Pardo","TBR","DSL",18,10,0,0.3,0,0.333333333,0.3,0.444444444,0.744444444,0.111111111,2.64285714,0.428571428,-0.011932117864489555,1.0156225579105298,-0.7489362938083728,0.33013086318969725,61.92326782791315,"sa3068880"
"Yadier Crespo","PIT","DSL",18,4,0.25,0.5,0.5,0.333333333,0.5,0.333333333,0.833333333,0,0.14285714,1,-0.011932117864489555,0.9144049201867697,0.20858137949920866,0.4597003012895584,137.96615047437416,"sa3068912"
"Rendy Naveo","MIA","DSL",18,6,0,0.166666666,0,0.166666666,0.166666666,0.166666666,0.333333332,0,0.14285714,0.2,-0.005966058932244778,-0.3537824154571663,-1.4125177264885078,0.1664073864618937,-33.60104183981356,"sa3068922"
"David Shirley","MIA","DSL",18,6,0.166666666,0.5,0.333333333,0.2,0.333333333,0.2,0.533333333,0,2.64285714,0.5,-0.011932117864489555,0.4701624778823492,-0.5885728331489923,0.30646686752637226,44.271708447334326,"sa3068944"
"Jordan Ouanyou","CIN","DSL",18,8,0.25,0.125,2,0.333333333,0.5,0.5,1,0.166666667,2.64285714,0.4,-0.017898176796734333,2.1288098754378866,0.7171627940627645,0.49794726073741913,150.89869587656906,"sa3068945"
"Adrian Silva","NYM","DSL",18,4,0.25,0.75,0.333333333,0,0.25,0,0.25,0,2.64285714,0,-0.005966058932244778,-0.06453999126932519,-0.7703635319568862,0.21008922159671783,-9.092752056537377,"sa3068966"
"Luis Ramon King","KCR","DSL",18,8,0.375,0.125,3,0,0.375,0,0.375,0,0.14285714,0,-0.017898176796734333,0.6948649108008651,-0.716782170574257,0.31513383239507675,50.346610876665544,"sa3068987"
"Fabian Gonzalez","TOR","DSL",18,3,0.333333333,0,1,0.5,0.666666666,0.5,1.166666666,0,5,0.5,0.18806788511574268,1.13652614133898,0.607158485823309,0.6129337350527445,214.8309119086607,"sa3069007"
"Lucas Takahashi","STL","DSL",17,4,0.5,0,2,0,0.5,0,0.5,0,0.14285714,0,-0.011932117864489555,0.7594049020701903,0.05358136138262928,0.42017844319343567,107.19441446925879,"sa3069016"
"Luis Bruno","LAA","DSL",17,3,0,0,0,0.333333333,0.333333333,0.333333333,0.666666666,0,2.5,0.333333333,-0.6517016803845763,0.3125812479994643,-0.2167864075162065,0.3328147729237874,59.605122528934196,"sa3069017"
"Jesus Griman","NYM","DSL",18,1,0,1,0,0,0,0,0,0,0.14285714,0,0,-0.22212122115221022,-0.3985771063241005,0,-100,"sa3069094"
"Gabriel Teran","SDP","DSL",18,4,0.25,0,1,0.333333333,0.5,0.333333333,0.833333333,0,2.64285714,0.333333333,-0.011932117864489555,0.9144049201867697,0.20858137949920866,0.4597003012895584,124.13231288496746,"sa3069116"
"Francisco Renteria","PHI","DSL",17,9,0.222222222,0,2,0.571428571,0.666666666,1.142857142,1.809523808,0.571428571,9.285714285714285,0.571428571,0.17613576725125313,4.704578341615724,3.1164753750687115,0.7596887085172865,306.2253268649554,"sa3069440"
"Emanuel Luna","STL","DSL",17,6,0.333333333,0.333333333,1,0.5,0.666666666,0.75,1.416666666,0.25,2.64285714,1,-0.017898176796734333,2.573052317742307,1.5143170067109653,0.6639296809832255,242.71954370952096,"sa3069441"
"Jeyson Horton","LAA","DSL",17,9,0.111111111,0.111111111,1,0.25,0.333333333,0.25,0.583333333,0,2.64285714,0.285714285,-0.017898176796734333,0.7827437258818135,-0.8053592406651988,0.315249502658844,49.838872542341065,"sa3069443"
"Carlos Castillo","LAA","DSL",17,8,0.375,0.25,1.5,0,0.375,0,0.375,0,2.64285714,0,-0.017898176796734333,0.6948649108008651,-0.716782170574257,0.31513383239507675,49.77456014094177,"sa3069445"
"Jean Paredes","TBR","DSL",17,8,0.125,0.5,0.25,0,0.125,0,0.125,0,0.14285714,0,-0.005966058932244778,-0.9530248758781661,-2.364671957253288,0.10504461079835892,-61.61424556565693,"sa3075038"
"Edelson Cabral","ATL","DSL",16,7,0.285714285,0.142857142,2,0.2,0.428571428,0.2,0.628571428,0,0.14285714,0.25,-0.017898176796734333,1.0719861500696546,-0.16320504613357723,0.3827368702207293,91.84854651774565,"sa3075039"
"Angeibel Gomez","KCR","DSL",17,8,0.25,0,2,0.2,0.375,0.4,0.775,0.2,7.5,0.166666666,0.3880678880959749,1.1498649639817917,-0.26178211739333046,0.37314172089099884,78.02051446183917,"sa3075040"
"Jose Manon","ATL","DSL",17,8,0,0.125,0,0.571428571,0.625,1.142857142,1.767857142,0.571428571,1.60119047125,0.6,-0.017898176796734333,4.107386961892191,2.6957398805170683,0.7501957565546036,296.15484466187405,"sa3075041"
"Richard De Los Santos","COL","DSL",17,11,0.181818181,0.454545454,0.4,0.111111111,0.272727272,0.111111111,0.383838383,0,5.478465153069578,0.25,-0.46363379526883364,0.18350126546081402,-1.757513471429979,0.24355982650410046,10.770306292507904,"sa3075042"
"Ricki Moneys","MIL","DSL",17,10,0.1,0.2,0.5,0.111111111,0.2,0.111111111,0.311111111,0,7.5,0.142857142,0.18806788511574268,-0.4183224067264915,-2.182881258445394,0.18388012051582336,-26.547066084087863,"sa3075043"
"Angel Nunez","CIN","DSL",17,9,0.111111111,0.222222222,0.5,0.5,0.555555555,1,1.555555555,0.5,7.0619652460748235,0.6,0.1821018261834979,3.8602657378179512,2.272162771270939,0.664007564385732,243.2278438951868,"sa3075047"
"Elian Rosario","TEX","DSL",17,10,0,0.1,0,0.5,0.5,1.2,1.7,0.7,1.60119047125,0.428571428,-0.011932117864489555,4.612776688741921,2.848217837023018,0.6970113754272461,260.39253258833725,"sa3075049"
"Juan Rijo","SEA","DSL",17,10,0.1,0.2,0.5,0.25,0.3,0.625,0.925,0.375,2.64285714,0.166666666,-0.011932117864489555,1.380254658689204,-0.38430419302969876,0.36732037663459777,79.81257152458578,"sa3075051"
"Joniel Hernandez","SDP","DSL",17,9,0.111111111,0.111111111,1,0.25,0.333333333,0.375,0.708333333,0.125,2.982185273159145,0.285714285,-0.45766773633658886,1.0827437609461608,-0.5053592056008516,0.3492467999458313,62.720419430061234,"sa3075052"
"Santiago Solarte","MIA","DSL",17,7,0,0.142857142,0,0.333333333,0.428571428,0.5,0.928571428,0.166666667,5.485988791802057,0.4,-0.45766773633658886,1.55198620617261,0.3167950099693782,0.45267416749681744,125.56263194800816,"sa3075054"
"Wilton Guerrero Jr.","PIT","DSL",17,9,0.111111111,0.111111111,1,0.375,0.444444444,0.5,0.944444444,0.125,7.5,0.428571428,0.38210182916373014,2.061688672402256,0.47358570585524334,0.46018505758709377,138.23567386415965,"sa3075055"
"Randy Santana","DET","DSL",17,7,0,0.428571428,0,0.142857142,0.142857142,0.142857142,0.285714284,0,0.14285714,0.25,-0.005966058932244778,-0.5759036366093766,-1.8110948328126084,0.14263490268162318,-59.51634491190754,"sa3075057"
"Jaider Suarez","KCR","DSL",17,8,0.25,0.25,1,0.333333333,0.5,0.333333333,0.833333333,0,5,0.5,0.37613577023148537,1.8288098403735393,0.4171627589984173,0.4597003012895584,130.72523606186098,"sa3075058"
"Cleiner Ramirez","NYM","DSL",17,10,0,0.1,0,0.222222222,0.3,0.444444444,0.744444444,0.222222222,5,0.25,0.19403394404798746,1.1856225777803264,-0.5789362739385762,0.34746948480606077,70.81221717410364,"sa3075059"
"Diego Frontado","MIL","DSL",17,10,0.1,0,1,0.222222222,0.3,0.555555555,0.855555555,0.333333333,7.5,0.125,0.18806788511574268,1.380254658689204,-0.38430419302969876,0.36732037663459777,80.73531577612991,"sa3075060"
"Samil Serrano","WSN","DSL",17,6,0.166666666,0,1,0.2,0.333333333,0.2,0.533333333,0,2.64285714,0.2,-0.011932117864489555,0.4701624778823492,-0.5885728331489923,0.30646686752637226,42.62163554462343,"sa3075061"
"Ronny Munoz","MIA","DSL",17,7,0,0.714285714,0,0.166666666,0.285714285,0.666666666,0.952380951,0.5,0.14285714,0,-0.005966058932244778,1.0926734136117684,-0.14251778259146325,0.3857510600771223,84.7969923540884,"sa3075062"
"Gregory Pio","SEA","DSL",17,9,0.111111111,0.222222222,0.5,0.5,0.555555555,1.25,1.805555555,0.75,3.26785714,0.666666666,-0.005966058932244778,4.480633518404903,2.8925305518578908,0.7343103157149421,283.8581360711423,"sa3075065"
"Ricky Duran","OAK","DSL",17,2,0.5,0,1,1,1,1,2,0,7.5,1,0.18806788511574268,1.3586473624911901,1.0057355921474096,0.9194006025791168,390.0046224813285,"sa3075066"
"Enmanuel Merlo","MIN","DSL",17,8,0.125,0.25,0.5,0.285714285,0.375,0.285714285,0.660714285,0,0.14285714,0.4,-0.017898176796734333,1.0048649470340238,-0.4067821343410983,0.3546556904911995,70.73633329665331,"sa3075067"
"Pedro Gomez","BAL","DSL",17,8,0,0.375,0,0.25,0.25,0.375,0.625,0.125,7.5,0.4,0.19403394404798746,0.4809200887588554,-0.9307269926162667,0.2878580391407013,35.551165230145216,"sa3075068"
"Garielvin Silverio","BOS","DSL",17,9,0.222222222,0.222222222,1,0,0.222222222,0,0.222222222,0,2.64285714,0,-0.011932117864489555,-0.3512012036908606,-1.939304170237873,0.18674597475263807,-20.03194097359214,"sa3075069"
"Gabriel Rosario","BAL","DSL",17,9,0.111111111,0.333333333,0.333333333,0.375,0.444444444,0.625,1.069444444,0.25,1.08035714,0.6,-0.011932117864489555,2.361688707466603,0.7735857409195905,0.4941823548740811,149.7693888417443,"sa3075071"
"Ruben Gallego","ARI","DSL",17,9,0.111111111,0.222222222,0.5,0.5,0.555555555,0.5,1.055555555,0,2.01785714,0.666666666,-0.02983029466122389,2.7406335487940034,1.1525305822469911,0.5371260179413689,163.8157071857339,"sa3075072"
"Jose Rodriguez","MIL","DSL",17,10,0,0.3,0,0.4,0.4,0.4,0.8,0,6.785714285714286,0.571428571,0.17613576725125313,1.6945674343022779,-0.06999141741662465,0.39937772750854494,98.55912934805879,"sa3075073"
