Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
Charlie Saum,TOR,A,22,7,18,21,2,1,1,0,0,0,1,1,0,7,1,1,0,0,0,0,.111,sa3076096
JT Benson,NYM,A,24,33,116,133,32,12,10,5,5,20,24,11,0,36,5,1,0,5,8,3,.276,sa3076097
Owen Carapellotti,TOR,A,23,22,72,85,16,7,2,0,7,13,11,12,0,25,1,0,0,0,0,0,.222,sa3076099
Caleb Shpur,DET,A,24,4,12,13,1,1,0,0,0,1,0,1,0,6,0,0,0,0,0,1,.083,sa3076235
Owen Gregg,TOR,A,19,9,23,25,6,6,0,0,0,5,0,1,0,9,1,0,0,2,1,0,.261,sa3076281
Henry Kusiak,MIN,A,25,18,67,83,16,10,5,0,1,11,13,15,0,21,1,0,0,0,6,2,.239,sa3076325
Ian Francis,CIN,A,23,33,95,118,18,13,3,0,2,13,11,14,0,32,6,2,1,1,0,0,.189,sa3076334
David McCann,NYY,A,22,35,111,130,32,19,6,2,5,18,26,14,0,36,3,2,0,2,0,0,.288,sa3076393
Giaconino Lasaracina,TOR,A,22,36,126,148,33,19,6,0,8,18,25,19,0,36,2,1,0,2,0,0,.262,sa3076418
Graham Brown,MIN,A,24,15,46,59,14,12,1,0,1,11,9,8,0,13,1,2,0,2,5,2,.304,sa3076419
Yostin Pena,NYY,A,18,24,96,108,31,23,0,2,6,22,23,9,0,16,2,1,0,5,10,2,.323,sa3076545
Jackson Hauge,NYM,A,25,27,76,90,12,8,2,0,2,5,9,13,0,24,0,1,0,1,0,1,.158,sa3076547
Jack Scanlon,NYM,A,25,24,68,86,13,8,2,0,3,9,12,10,0,31,8,0,0,0,1,1,.191,sa3077590
Taylor Darden,NYM,A,26,16,42,50,7,4,2,1,0,4,2,7,0,10,1,0,0,1,3,0,.167,sa3077692
Ryan Franden,TOR,A,22,20,61,68,12,6,5,0,1,10,4,6,0,13,1,0,0,1,1,1,.197,sa3077913
Dylan Carey,NYM,A,22,21,66,75,10,7,1,0,2,5,7,6,0,21,3,0,0,0,3,1,.152,sa3077914
Jacob Lombard,MIA,A,18,22,82,99,18,12,2,0,4,15,17,13,0,39,3,1,0,0,11,2,.220,sa3077955
Paul Gutierrez-Contreras II,NYY,A,20,16,60,74,17,13,1,1,2,13,11,10,0,10,2,2,0,1,4,2,.283,sa3077957
Cade Climie,PHI,A,22,23,72,80,20,16,3,0,1,9,18,5,0,17,1,2,0,2,0,0,.278,sa3077963
Reed Stallman,NYM,A,23,17,56,64,14,10,4,0,0,5,1,7,0,20,1,0,0,0,0,0,.250,sa3077966
Bryce Fowler,MIN,A,23,20,63,80,17,15,2,0,0,8,8,13,0,26,4,0,0,1,6,5,.270,sa3077967
Jack Hopko,PHI,A,22,20,60,76,18,14,1,1,2,10,11,14,0,11,1,1,0,2,0,0,.300,sa3077968
Owen Henne,STL,A,21,16,55,67,12,4,4,0,4,13,15,9,0,11,3,0,0,2,1,0,.218,sa3077974
Jake Ogden,NYM,A,22,13,41,52,11,9,1,0,1,10,8,7,0,7,3,1,0,2,4,1,.268,sa3078037
Jack Toomey,NYM,A,23,13,44,53,11,9,1,0,1,7,7,9,0,18,0,0,0,0,2,1,.250,sa3078038
Trevor Condon,STL,A,18,7,28,31,9,5,3,0,1,3,5,3,0,6,0,0,0,0,2,1,.321,sa3078040
Tyler Spangler,PHI,A,18,9,34,42,6,4,1,0,1,9,6,6,0,10,1,1,0,1,0,0,.176,sa3078051
Jimmy Keenan,MIN,A,22,11,31,38,7,5,0,0,2,7,6,4,0,18,3,0,0,0,0,0,.226,sa3078060
Blake Schaaf,NYY,A,21,5,12,20,1,1,0,0,0,1,1,6,0,7,1,1,0,0,2,1,.083,sa3078078
Wessley Roberson,MIA,A,18,6,18,25,5,3,2,0,0,8,1,7,0,9,0,0,0,0,4,0,.278,sa3078086
Evan Bouldin,PHI,A,22,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.250,sa3078093
Tyler Minnick,PHI,A,21,2,7,9,2,2,0,0,0,1,3,0,0,0,2,0,0,0,0,0,.286,sa3078102
Ismael Munguia,TOR,A,27,4,11,13,3,3,0,0,0,1,1,0,0,0,1,1,0,0,1,0,.273,sa917132
