Player Name,Team,League Name,Source League ID,Age,AB,PA,Estimated BIP,Estimated FB,wRC+,LD% Weighted+,HR/FB% Weighted+,BB/K Weighted+,FB Quality+ K=100,LD + HR/FB Weighted+,LD + HR/FB + BB/K Weighted+
Vladi Guerrero,NYM,Dominican Summer League,30,18,86,99,55.0,17.64150938,80.77617067487772,100.63056087608177,101.93612404641438,85.60163891095658,112.53222052359023,101.28334246124808,96.05610794448425
Vladimir Asencio,BOS,Dominican Summer League,30,18,79,83,62.0,16.909090864,35.984344217970815,103.01720224153978,85.53654746689435,85.56055889909241,85.53654746689435,94.27687485421706,91.37143620250885
Wilberson De Pena,LAA,Dominican Summer League,30,18,103,122,72.0,31.76470584,92.37459005340904,97.98712377293559,153.01506520588885,91.3612753740175,186.52684919094798,125.50109448941222,114.12115478428065
Wilmer Blanca,TOR,Dominican Summer League,30,18,51,69,39.0,18.352941165,,85.29664399824401,103.096410778193,105.83486314270023,93.981774116491,94.1965273882185,98.0759726397124
Winifer Castillo,PHI,Dominican Summer League,30,18,96,109,43.0,12.128205126,81.88633760259742,103.20241899446516,89.18362680257712,70.120409045853,89.18362680257712,96.19302289852115,87.50215161429844
Wuinder Torres,CLE,Dominican Summer League,30,18,166,181,151.0,72.61832053,55.145801883106515,104.24732190044503,57.931278495216624,87.68939532446348,57.931278495216624,81.08930019783082,83.28933190670837
Yadimir Fuentes,PHI,Dominican Summer League,30,18,98,123,69.0,35.514705858,65.55747268866115,85.08169966345439,73.79272925905597,94.65990361371102,73.79272925905597,79.43721446125518,84.51144417874046
Yeider Mindiola,NYM,Dominican Summer League,30,18,112,142,87.0,40.879518066,,89.75920952303294,128.10922354086958,106.5741126111321,113.59648494026803,108.93421653195125,108.14751522501153
Yensi De La Cruz,HOU,Dominican Summer League,30,18,186,217,143.0,64.64383554199999,115.31183183793624,102.03029517474657,117.8314556357883,94.52277885976638,140.8204666801987,109.93087540526744,104.79484322343376
Yensi Rivas,NYM,Dominican Summer League,30,18,138,164,104.0,26.262626207999997,94.33358768302904,104.57467011160777,95.17012416326929,91.77221266131903,88.7456647765327,99.87239713743853,97.17233564539869
Yohandy Cruz,KCR,Dominican Summer League,30,18,43,60,26.0,10.999999998,114.82523982496168,100.77056692405078,90.09009009171334,99.77425162062413,90.09009009171334,95.43032850788205,96.87830287879608
Yohendry Sanchez,SFG,Dominican Summer League,30,18,142,170,124.0,48.947368408,100.27390468013644,99.64932714008538,81.15525742907707,98.2915181149032,75.1811798042405,90.40229228458122,93.03203422802187
Yojackson Laya,LAD,Dominican Summer League,30,18,114,139,94.0,29.858823452,71.94503727868324,91.52026349984519,77.00670415896938,104.00007330513814,77.00670415896938,84.26348382940728,90.84234698798423
Yojanser Calzado,CIN,Dominican Summer League,30,18,137,171,103.0,28.932584228000003,117.80942333343238,110.76557653888779,77.55991287909299,103.80470834407238,77.55991287909299,94.16274470899039,97.37673258735106
Yoneiker Lugo,MIL,Dominican Summer League,30,18,99,123,89.0,35.6,116.20613570602023,110.06270478395082,89.49430870169743,108.80150415138328,93.0239202056128,99.77850674282413,102.78617254567719
Yordani Martinez,MIA,Dominican Summer League,30,18,152,196,115.0,39.42857133,114.53067773573122,120.704043467934,101.87717165974307,107.18169574878978,113.25036983313682,111.29060756383853,109.92097029215562
Yovanny Rodriguez,NYM,Dominican Summer League,30,18,136,168,97.0,39.821052554999994,147.20456877244936,106.67761012733533,99.55433989112649,91.06195886203643,123.80088163134454,103.11597500923091,99.09796962683275
Yoxander Benitez,SFG,Dominican Summer League,30,18,86,102,76.0,22.594594572,80.28779632168806,110.3292709644754,81.5696649180318,105.83486314270023,81.5696649180318,95.9494679412536,99.24459967506914
Yunior Amparo,NYM,Dominican Summer League,30,18,141,173,115.0,43.51351347,,114.09430871825242,125.1075701594075,110.09756519896884,101.48490353431342,119.60093943882995,116.4331480255429
