Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Matt Moore,KCR,AAA,37,2.2,10.12,6.75,1.50,0.00,27.3%,18.2%,9.1%,.111,1.12,.167,100.0%,0.00,3.55,-3.55,4.92,1890
Garrett Baumann,ATL,AAA,21,27.1,7.24,4.28,1.69,3.29,17.1%,10.1%,7.0%,.284,1.68,.274,50.0%,8.89,8.12,0.77,4.91,sa3023310
Holden Powell,WSN,AAA,26,7.0,10.29,3.86,2.67,0.00,23.5%,8.8%,14.7%,.290,1.71,.391,75.0%,2.57,2.55,0.03,4.90,sa3014854
Jonathan Heasley,TBR,AAA,29,27.2,5.86,1.95,3.00,0.98,15.7%,5.2%,10.4%,.252,1.19,.279,71.4%,3.90,4.52,-0.62,4.90,22224
Matt Seelinger,NYM,AAA,31,3.1,13.50,8.10,1.67,0.00,33.3%,20.0%,13.3%,.083,1.20,.143,100.0%,0.00,3.25,-3.25,4.90,23563
Ben Sears,KCR,AAA,26,50.0,7.74,3.60,2.15,1.08,19.5%,9.1%,10.5%,.279,1.50,.331,74.7%,4.68,4.77,-0.09,4.89,sa3020178
Will Brian,NYY,AAA,27,11.1,11.91,9.53,1.25,0.79,28.8%,23.1%,5.8%,.125,1.50,.167,76.9%,3.97,5.22,-1.25,4.88,sa3020621
Charlie Barnes,CHC,AAA,30,26.2,9.11,4.05,2.25,1.35,25.0%,11.1%,13.9%,.213,1.20,.254,88.0%,3.04,5.05,-2.01,4.88,19865
Sam McWilliams,BOS,AAA,30,9.0,10.00,7.00,1.43,3.00,22.7%,15.9%,6.8%,.216,1.67,.208,83.3%,5.00,7.99,-2.99,4.88,sa829124
Eric Orze,MIN,AAA,28,2.0,9.00,4.50,2.00,0.00,28.6%,14.3%,14.3%,.000,0.50,.000,100.0%,0.00,3.05,-3.05,4.88,27626
Javen Coleman,TOR,AAA,24,2.0,9.00,4.50,2.00,0.00,22.2%,11.1%,11.1%,.250,1.50,.333,33.3%,9.00,3.05,5.95,4.88,sa3029151
Chandler Champlain,WSN,AAA,26,89.0,5.56,1.72,3.24,1.11,15.6%,4.8%,10.8%,.231,1.06,.247,67.4%,4.04,4.59,-0.55,4.88,sa3018138
Jonah Tong,NYM,AAA,23,75.2,11.06,5.47,2.02,1.78,27.2%,13.5%,13.7%,.241,1.53,.301,65.0%,5.59,5.69,-0.10,4.88,32157
C.J. Culpepper,MIN,AAA,24,35.2,8.58,5.05,1.70,0.50,21.8%,12.8%,9.0%,.229,1.40,.295,76.6%,3.53,4.47,-0.94,4.87,sa3020563
Joe Boyle,TBR,AAA,26,36.1,13.38,8.42,1.59,0.00,28.4%,17.9%,10.5%,.289,2.15,.449,50.0%,8.67,3.71,4.96,4.87,29608
Isaac Coffey,BOS,AAA,26,17.2,10.19,3.57,2.86,1.02,26.0%,9.1%,16.9%,.243,1.36,.313,75.5%,4.08,3.94,0.13,4.86,sa3020222
Hagen Danner,CIN,AAA,27,32.2,11.02,7.44,1.48,0.83,24.4%,16.5%,7.9%,.316,2.14,.430,68.9%,6.61,4.86,1.75,4.85,22116
Brandt Thompson,STL,AAA,23,26.2,6.41,4.05,1.58,0.67,16.4%,10.3%,6.0%,.298,1.61,.349,67.2%,5.40,4.45,0.95,4.85,sa3043741
Riley Gowens,CHW,AAA,26,27.2,7.48,3.25,2.30,1.63,19.3%,8.4%,10.9%,.234,1.27,.253,60.0%,5.20,5.53,-0.33,4.84,sa3022948
Chase Petty,CIN,AAA,23,44.1,9.34,4.06,2.30,1.62,23.1%,10.1%,13.1%,.264,1.51,.315,65.1%,5.89,5.24,0.65,4.83,30170
Victor Mederos,ATL,AAA,25,40.1,8.26,4.24,1.95,1.12,21.4%,11.0%,10.4%,.248,1.41,.297,76.5%,4.24,4.81,-0.57,4.83,31533
Daniel Duarte,NYM,AAA,29,30.1,8.90,5.04,1.76,1.19,22.6%,12.8%,9.8%,.250,1.52,.305,71.8%,4.75,4.96,-0.22,4.82,17480
Hunter Bigge,TBR,AAA,28,17.1,11.42,5.19,2.20,2.60,27.5%,12.5%,15.0%,.232,1.50,.262,45.0%,6.75,6.66,0.09,4.81,26259
John Brebbia,MIN,AAA,36,20.1,11.51,4.43,2.60,1.77,28.3%,10.9%,17.4%,.268,1.57,.346,68.2%,6.20,5.02,1.18,4.81,12777
Connor Wietgrefe,PIT,AAA,24,30.2,5.87,1.47,4.00,1.76,16.8%,4.2%,12.6%,.221,0.98,.218,84.1%,2.93,5.37,-2.44,4.80,sa3025401
Yilber Díaz,DET,AAA,25,8.0,12.38,7.88,1.57,0.00,28.2%,17.9%,10.3%,.219,1.75,.333,57.1%,3.38,3.42,-0.05,4.80,29271
Rafael Montero,NYY,AAA,35,20.2,10.45,5.23,2.00,0.87,24.2%,12.1%,12.1%,.279,1.74,.367,58.5%,5.66,4.37,1.29,4.80,12760
Bryce Hubbart,CIN,AAA,25,1.1,6.75,0.00,1.00,0.00,12.5%,0.0%,12.5%,.500,3.00,.571,25.0%,20.25,2.05,18.20,4.80,sa3020323
Trevor Martin,TBR,AAA,25,32.0,9.56,4.78,2.00,0.56,23.3%,11.6%,11.6%,.246,1.50,.322,70.5%,2.81,4.11,-1.30,4.78,31878
Zach Maxwell,CIN,AAA,25,27.1,12.51,7.57,1.65,0.66,29.5%,17.8%,11.6%,.212,1.65,.313,67.9%,5.27,4.46,0.81,4.78,31610
Sam Benschoter,CIN,AAA,28,54.1,7.45,3.31,2.25,0.99,17.8%,7.9%,9.9%,.309,1.69,.363,69.4%,4.97,4.43,0.54,4.78,sa3017639
Easton McGee,MIL,AAA,28,41.2,9.29,3.67,2.53,1.08,22.5%,8.9%,13.6%,.290,1.58,.364,67.2%,5.62,4.63,0.99,4.78,22176
Jose Franco,CIN,AAA,25,55.2,8.73,4.69,1.86,0.81,22.8%,12.2%,10.5%,.210,1.29,.260,75.0%,3.72,4.50,-0.78,4.78,27014
Sawyer Gipson-Long,DET,AAA,28,69.2,8.78,3.49,2.52,1.16,22.1%,8.8%,13.3%,.251,1.38,.303,69.4%,4.78,4.69,0.09,4.78,26048
Andrew Wantz,TBR,AAA,30,23.0,9.00,4.30,2.09,0.39,20.7%,9.9%,10.8%,.313,1.78,.403,57.3%,7.04,4.07,2.98,4.78,24933
Riley Martin,CHC,AAA,28,3.0,9.00,6.00,1.50,3.00,21.4%,14.3%,7.1%,.250,1.67,.250,100.0%,3.00,7.88,-4.88,4.77,29934
Jack Little,DET,AAA,28,43.1,9.14,3.12,2.93,1.25,24.7%,8.4%,16.3%,.230,1.20,.279,78.9%,3.53,4.49,-0.96,4.76,26152
Daniel Espino,CLE,AAA,25,24.2,12.41,6.20,2.00,1.09,31.2%,15.6%,15.6%,.209,1.46,.296,76.2%,4.38,4.56,-0.18,4.76,25625
