Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Silvano Hechavarria,TOR,A+,23,14.0,.298,1.00,20.0%,40.0%,40.0%,22.2%,11.1%,41.7%,25.0%,33.3%,9.8%,80,164,244,sa3024856
Austin Marozas,TOR,A+,27,12.1,.407,1.22,28.6%,39.3%,32.1%,22.2%,22.2%,34.5%,34.5%,31.0%,19.8%,84,143,227,sa3068884
Brock Moore,SEA,A+,26,16.0,.167,1.14,16.7%,44.4%,38.9%,0.0%,14.3%,42.1%,36.8%,21.1%,18.7%,68,157,225,sa3025654
Teofilo Mendez,ARI,A+,24,10.0,.487,1.25,32.5%,37.5%,30.0%,0.0%,25.0%,28.6%,33.3%,38.1%,9.9%,85,137,222,sa3008795
Ben Peterson,SFG,A+,24,13.0,.370,3.50,35.7%,50.0%,14.3%,25.0%,25.0%,57.1%,25.0%,17.9%,12.9%,76,141,217,sa3067064
Jacob Denner,SEA,A+,25,11.2,.276,1.71,32.1%,42.9%,25.0%,14.3%,28.6%,38.7%,29.0%,32.3%,14.8%,68,142,210,sa3067451
Jack White,SEA,A+,26,8.2,.409,5.00,18.2%,68.2%,13.6%,0.0%,33.3%,52.2%,21.7%,26.1%,8.6%,98,111,209,sa3023404
Aaron Munson,TOR,A+,24,10.1,.417,2.50,12.5%,62.5%,25.0%,16.7%,0.0%,37.5%,16.7%,45.8%,12.6%,77,129,206,sa3023257
Nicolo Pinazzi,LAA,A+,26,12.2,.333,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,42.9%,14.3%,42.9%,21.1%,72,132,204,sa3015335
Bryson Van Sickle,COL,A+,25,12.0,.333,1.00,39.1%,30.4%,30.4%,14.3%,14.3%,43.5%,23.9%,32.6%,8.6%,80,117,197,sa3068737
