Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Gerlin Rosario,OAK,A+,24,1,1,7.93,30,0,0,0,1,1,2,42.0,206,53,42,37,10,28,0,3,8,0,31,sa3019251
Leonel Sequera,STL,A+,20,2,5,7.23,18,18,0,0,0,0,0,79.2,374,100,73,64,17,38,0,3,6,0,89,sa3019268
Bryan Rivera,MIL,A+,21,0,0,9.39,9,0,0,0,1,0,1,15.1,81,21,17,16,3,13,0,2,3,0,11,sa3019382
Cesar Lares,MIN,A+,22,1,7,10.27,12,12,0,0,0,0,0,37.2,196,47,51,43,7,29,0,8,4,2,43,sa3019384
Daniel Corniel,MIL,A+,21,1,5,5.71,12,6,0,0,3,0,0,41.0,177,42,27,26,3,17,0,2,1,0,29,sa3019395
Nicolas Cruz,LAD,A+,22,4,4,5.07,37,0,0,0,2,5,3,55.0,250,58,40,31,4,23,0,8,8,6,72,sa3019461
Engel Peralta,MIA,A+,22,0,0,2.45,2,0,0,0,0,0,0,3.2,19,2,1,1,1,4,0,2,1,0,6,sa3019538
Dilan Figueredo,LAD,A+,23,4,3,3.23,37,0,0,0,6,4,4,55.2,236,49,28,20,3,18,0,4,3,0,50,sa3019555
Julio Mendez,MIA,A+,21,3,1,3.05,10,8,0,0,0,0,0,38.1,167,30,17,13,2,20,0,5,0,1,52,sa3019580
Liomar Martinez,MIA,A+,21,3,5,5.19,23,21,1,1,0,0,0,102.1,443,77,61,59,13,57,0,6,22,3,146,sa3019612
Jogly García,CLE,A+,22,5,2,5.99,32,4,0,0,3,2,3,73.2,340,62,59,49,12,60,0,8,7,2,74,sa3019633
Ovis Portes,CIN,A+,21,1,8,9.13,15,13,0,0,0,0,0,47.1,240,60,50,48,6,36,0,5,5,1,58,sa3019644
Luis Germán,SDP,A+,24,3,0,9.24,22,0,0,0,0,0,2,25.1,140,33,34,26,5,29,0,2,5,1,25,sa3019658
Eliseo Mota,DET,A+,23,1,1,6.26,18,0,0,0,0,0,2,23.0,115,28,17,16,4,19,0,2,2,0,17,sa3019718
Michael Perez,MIA,A+,23,6,1,4.11,33,1,0,0,1,4,7,50.1,221,40,24,23,8,31,0,4,6,2,71,sa3019721
Braian Salazar,SDP,A+,21,3,4,4.25,38,0,0,0,1,0,5,55.0,240,45,26,26,5,31,0,7,1,6,67,sa3019741
Braulio Salas,MIA,A+,21,1,1,7.27,10,0,0,0,1,2,1,17.1,82,22,14,14,1,7,0,2,1,1,14,sa3019820
Jake Garland,OAK,A+,25,1,2,3.37,8,0,0,0,1,2,0,10.2,50,11,7,4,1,6,1,2,1,1,8,sa3020077
Sammy Hernandez,STL,A+,22,0,0,0.00,2,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,sa3020141
Bryce Hubbart,CIN,A+,25,1,0,0.00,1,0,0,0,0,0,0,3.0,11,1,0,0,0,0,0,1,0,0,6,sa3020323
Rob Hensey,KCR,A+,26,3,0,3.43,7,0,0,0,0,0,0,21.0,98,20,9,8,0,12,0,3,5,0,18,sa3020332
Yoendris Gonzalez,CHC,A+,23,1,0,3.12,9,0,0,0,1,0,1,17.1,72,16,6,6,1,7,0,1,0,1,21,sa3020334
Juanmi Vasquez,DET,A+,22,2,2,7.18,25,0,0,0,0,1,4,31.1,148,35,29,25,7,22,0,2,6,0,38,sa3020344
Joe Miller,DET,A+,26,0,0,4.91,3,2,0,0,0,0,0,7.1,34,8,4,4,2,4,0,1,0,0,7,sa3020393
Jake Miller,DET,A+,25,0,0,1.42,3,3,0,0,0,0,0,12.2,49,8,2,2,1,4,0,0,0,0,12,sa3020408
Jake Christianson,MIA,A+,26,0,0,3.00,5,0,0,0,2,0,0,6.0,25,3,2,2,0,3,0,0,0,0,6,sa3020410
D.J. Carpenter,STL,A+,26,1,0,3.60,14,0,0,0,1,0,2,15.0,65,13,7,6,1,7,0,0,3,0,18,sa3020444
Brody Jessee,CIN,A+,25,0,0,3.55,8,0,0,0,2,1,0,12.2,53,8,5,5,1,9,0,0,1,0,18,sa3020447
Blaze Pontes,OAK,A+,26,3,1,1.53,11,0,0,0,4,0,0,17.2,71,12,5,3,0,8,1,1,2,0,15,sa3020486
Jacob Edwards,CIN,A+,25,1,3,3.66,23,1,0,0,0,0,1,59.0,256,57,32,24,3,25,2,1,3,2,50,sa3020491
Max Alba,DET,A+,26,0,0,6.00,1,1,0,0,0,0,0,3.0,15,5,2,2,0,1,0,0,0,0,5,sa3020525
Adam Tulloch,CLE,A+,25,0,0,0.00,1,0,0,0,1,0,0,2.0,7,0,0,0,0,0,0,1,0,0,3,sa3020588
Mason Vinyard,MIA,A+,27,2,0,1.80,3,0,0,0,0,0,0,5.0,22,4,1,1,0,3,0,0,1,0,3,sa3020753
Isaiah Lowe,SDP,A+,23,2,6,7.44,26,5,0,0,0,0,0,55.2,272,63,56,46,13,40,0,7,8,1,51,sa3020864
Tyler Gough,LAD,A+,22,2,0,1.71,10,9,0,0,0,0,1,42.0,168,16,9,8,1,25,0,2,1,1,55,sa3020865
Luis Rujano,CHC,A+,23,2,1,4.34,12,0,0,0,0,0,1,18.2,84,13,9,9,0,12,0,3,1,0,20,sa3020904
Adam Stone,CHC,A+,24,6,2,2.20,27,0,0,0,2,2,4,49.0,217,37,19,12,1,29,0,7,2,0,44,sa3020944
Zack Showalter,STL,A+,22,1,0,15.58,8,0,0,0,0,1,0,8.2,49,17,16,15,4,7,0,1,0,0,10,sa3020959
C.J. Widger,SDP,A+,27,1,1,6.95,22,0,0,0,2,1,3,22.0,110,25,19,17,2,20,2,5,2,0,25,sa3020960
Mason McGwire,CHC,A+,22,1,2,4.91,8,6,0,0,1,0,0,29.1,123,27,17,16,3,14,0,2,0,0,27,sa3020961
Luis De La Cruz,MIA,A+,23,1,1,8.10,19,0,0,0,0,3,2,23.1,120,20,22,21,2,30,0,5,1,0,24,sa3020981
Duque Hebbert,DET,A+,24,1,2,6.53,13,0,0,0,1,0,0,20.2,91,23,16,15,3,3,0,5,0,0,15,sa3021026
Luiyin Alastre,MIL,A+,20,0,0,17.18,3,0,0,0,0,0,0,3.2,26,11,7,7,1,3,0,1,0,0,1,sa3021210
Angel Acosta,KCR,A+,23,0,0,3.86,3,0,0,0,0,0,0,2.1,13,5,1,1,1,1,0,1,0,0,2,sa3021290
Jesus Rios,MIA,A+,24,5,8,6.67,33,1,0,0,0,3,2,58.0,283,65,51,43,11,39,0,7,12,0,50,sa3021471
Augusto Mendieta,KCR,A+,21,1,0,0.00,2,0,0,0,0,0,0,3.0,10,1,0,0,0,0,0,0,0,0,8,sa3021473
Adrian Bohorquez,MIN,A+,21,1,0,4.19,12,11,0,0,0,0,0,38.2,168,29,23,18,1,24,0,1,1,2,47,sa3021501
Jostin Florentino,CHC,A+,21,1,5,4.71,17,17,0,0,0,0,0,63.0,274,51,33,33,12,33,0,8,2,1,77,sa3021510
Jesus Flores,MIL,A+,21,1,0,5.79,5,0,0,0,0,0,0,4.2,28,4,3,3,0,9,0,1,2,0,3,sa3021519
Tzu-Chen Sha,OAK,A+,22,3,6,8.71,25,11,0,0,0,0,1,72.1,334,97,72,70,12,23,0,6,7,2,56,sa3021551
