Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP,BB%,K%,LD%,GB%,FB%,IFFB%,HR/FB%
Cam Cannarella,Ben the Hen (MINORS),MIA,Southern League,AA,No,22.0,,34.0,11.0,3.6,107.6,158.9,254.2,83.0,101.2,219.9,177.0,121.2,132.6,25.2,122.0,42.0,9.0,29.0,23.0,8.0,4.0,0.344,0.453,0.607,1.06,0.347,0.153,0.133,0.235,0.5,0.265,0.0,0.333
Brailyn Antunez,Lászlaró Tóth (MINORS),MIL,Carolina League,A,Yes,18.0,,34.0,11.3,3.6,112.7,163.9,75.3,115.2,129.5,244.7,168.0,120.9,124.0,23.4,124.0,42.0,7.0,27.0,33.0,10.0,4.0,0.339,0.45,0.573,1.022,0.438,0.113,0.247,0.305,0.402,0.293,0.042,0.292
Luis De Leon,Available,HOU,Florida Complex League,CPX,No,19.0,,38.0,9.0,3.1,101.9,129.6,199.8,74.6,151.6,148.6,168.0,120.8,136.9,19.2,118.0,46.0,4.0,27.0,23.0,5.0,1.0,0.39,0.482,0.559,1.042,0.424,0.149,0.113,0.33,0.476,0.194,0.3,0.2
Pedro Ramírez,Ben the Hen (MINORS),CHC,International League,AAA,Yes,22.0,,43.0,12.3,4.0,119.0,184.1,137.9,149.7,107.5,150.7,137.0,120.8,114.6,39.9,170.0,53.0,9.0,34.0,40.0,19.0,2.0,0.312,0.395,0.547,0.942,0.338,0.107,0.163,0.255,0.438,0.307,0.19,0.214
Owen Carey,Available,ATL,Southern League,AA,Yes,19.0,,30.0,7.0,3.7,124.6,102.1,79.1,142.0,145.6,52.8,98.0,120.8,111.7,24.7,112.0,28.0,2.0,19.0,17.0,3.0,0.0,0.25,0.344,0.384,0.727,0.329,0.099,0.252,0.338,0.35,0.313,0.08,0.08
Alexander Frias,Lászlaró Tóth (MINORS),STL,Arizona Complex League,CPX,No,18.0,,32.0,13.7,3.7,108.9,197.3,146.4,127.8,144.1,111.0,189.0,120.7,124.5,25.0,118.0,52.0,4.0,33.0,34.0,12.0,6.0,0.441,0.518,0.678,1.196,0.516,0.117,0.153,0.29,0.441,0.269,0.12,0.16
Josh Adamczewski,Cant Park Here (MINORS),MIL,Midwest League,A+,No,21.0,,50.0,10.6,3.3,105.0,143.5,175.2,116.5,128.7,175.8,165.0,120.7,128.7,33.4,166.0,55.0,9.0,41.0,38.0,10.0,1.0,0.331,0.464,0.572,1.037,0.387,0.194,0.19,0.289,0.43,0.281,0.25,0.25
Miguel Hernández,Bobby and the NitWitts (MINORS),STL,Florida State League,A,Yes,18.0,,25.0,7.8,3.2,116.3,111.5,109.8,127.1,144.2,100.2,163.0,120.6,119.3,14.0,79.0,24.0,2.0,16.0,8.0,7.0,3.0,0.304,0.466,0.494,0.96,0.44,0.194,0.262,0.34,0.38,0.28,0.214,0.143
Owen Caissie,Lászlaró Tóth (MINORS),MIA,International League,AAA,Yes,23.0,,3.0,14.5,2.3,113.8,216.6,110.5,12.3,140.4,704.2,343.0,120.5,137.0,0.7,7.0,3.0,2.0,3.0,3.0,0.0,0.0,0.429,0.692,1.286,1.978,1.0,0.385,0.308,0.333,0.0,0.667,0.0,1.0
Brayden Taylor,Je suis Charlie Morton (MINORS),MIA,International League,AAA,Yes,24.0,,24.0,7.0,3.1,109.1,105.2,117.4,166.1,143.3,88.0,107.0,120.5,118.7,23.0,74.0,13.0,3.0,13.0,9.0,6.0,0.0,0.176,0.358,0.392,0.75,0.222,0.221,0.274,0.34,0.149,0.511,0.292,0.125
