Player,Position,Status,FPts,FP/G,GP,AB_per_Game,hitter_score,batters_eye_score,barrel_batted_rate,oz_swing_percent,meatball_swing_percent,FPts_7d,FP/G_7d,hitter_score_7d,batters_eye_score_7d,barrel_batted_rate_7d,barrels_7d,oz_swing_percent_7d,meatball_swing_percent_7d,GP_7d,AB_per_Game_7d,Runs_7d,FPts_14d,FP/G_14d,hitter_score_14d,batters_eye_score_14d,barrel_batted_rate_14d,barrels_14d,oz_swing_percent_14d,meatball_swing_percent_14d,GP_14d,AB_per_Game_14d,Runs_14d,FPts_30d,FP/G_30d,hitter_score_30d,batters_eye_score_30d,barrel_batted_rate_30d,barrels_30d,oz_swing_percent_30d,meatball_swing_percent_30d,GP_30d,AB_per_Game_30d,Runs_30d,hitter_score_2025,batters_eye_score_2025,barrel_batted_rate_2025,oz_swing_percent_2025,meatball_swing_percent_2025
Jose Fermin,2B,FA,496.0,4.59,108.06100217864925,2.748447580645161,-0.67,0.21,2.3,22.1,65.3,15.5,3.88,-0.04,0.66,0.0,0.0,30.77,100.0,4.0,2.75,1.0,52.5,5.25,-0.65,-0.01,0.0,0.0,30.51,75.0,10.0,3.1,6.0,126.0,5.25,-0.07,0.44,3.12,2.0,23.45,70.83,24.0,3.21,9.0,-1.49,-0.47,0.0,20.9,60.9
Sean Murphy,C,FA,92.0,4.0,23.0,3.217391304347826,-0.93,-1.13,6.4,34.9,66.7,-1.5,-0.38,-2.17,-2.53,0.0,0.0,40.0,0.0,4.0,3.5,0.0,52.5,6.56,-1.35,-1.89,7.14,1.0,26.79,16.67,8.0,3.25,4.0,92.5,6.17,-0.22,-0.68,9.38,3.0,29.63,57.14,15.0,3.33,7.0,1.18,0.59,13.4,25.9,79.8
Nick Sogard,1B,FA,298.5,5.74,52.00348432055749,3.5382244556113904,-0.53,-0.16,4.8,23.7,63.1,3.5,0.88,-1.03,-0.82,0.0,0.0,38.71,60.0,4.0,4.0,0.0,52.0,4.73,-0.9,-0.85,3.85,1.0,29.41,50.0,11.0,3.64,4.0,177.5,6.83,-0.03,-0.26,8.33,6.0,25.1,58.33,26.0,3.81,14.0,-0.54,-0.27,5.6,24.9,68.6
Josh Smith,SS,FA,260.0,3.88,67.01030927835052,2.641384615384615,-0.41,-0.6,7.4,34.1,71.8,30.5,6.1,0.15,0.94,0.0,0.0,25.0,100.0,5.0,2.0,2.0,51.5,6.44,1.54,1.72,11.11,1.0,18.6,100.0,8.0,1.88,4.0,81.5,6.79,0.66,0.25,11.76,2.0,30.88,80.0,12.0,2.08,8.0,-0.47,-0.04,5.0,25.8,72.4
Matt McLain,2B,FA,616.5,5.01,123.05389221556887,3.226228710462287,0.05,-0.41,9.5,26.4,63.8,11.0,2.2,-0.77,-0.44,0.0,0.0,39.29,75.0,5.0,3.0,2.0,51.0,4.64,-0.03,0.32,4.35,1.0,34.78,92.31,11.0,3.18,5.0,152.5,5.65,0.36,0.36,7.94,5.0,28.23,77.78,27.0,3.37,14.0,-0.2,-0.25,7.8,26.3,70.7
Spencer Horwitz,1B,FA,585.5,5.63,103.99644760213144,3.4424252775405635,-0.17,0.07,6.1,24.4,66.7,23.0,5.75,0.01,0.73,0.0,0.0,22.22,87.5,4.0,3.75,1.0,51.0,5.1,0.23,1.23,0.0,0.0,22.22,93.33,10.0,3.7,4.0,63.0,3.15,-0.42,0.41,0.0,0.0,28.92,80.0,20.0,3.8,4.0,0.46,0.64,8.3,23.3,76.9
Juan Brito,2B,FA,95.5,4.55,20.98901098901099,3.144502617801047,-0.99,-0.73,4.3,32.5,68.2,20.0,6.67,-0.43,-1.13,14.29,1.0,30.0,33.33,3.0,2.67,3.0,50.0,8.33,-0.16,-0.35,8.33,1.0,25.0,55.56,6.0,2.5,4.0,50.0,8.33,-0.12,-0.38,8.33,1.0,25.0,55.56,6.0,2.5,4.0,,,,,
Osleivis Basabe,SS,FA,158.0,4.27,37.00234192037471,2.999810126582278,-0.25,-0.51,8.0,35.7,75.0,1.5,0.38,-0.33,0.22,0.0,0.0,28.57,80.0,4.0,3.0,0.0,48.5,4.85,0.32,-0.18,12.5,2.0,24.14,58.33,10.0,2.6,4.0,72.5,3.02,-0.35,-0.33,5.66,3.0,33.12,71.43,24.0,2.96,7.0,,,,,
Hao-Yu Lee,3B,FA,433.5,4.34,99.88479262672811,2.703114186851211,0.35,0.28,8.5,29.5,75.9,9.0,3.0,-0.3,0.27,0.0,0.0,20.0,66.67,3.0,2.67,3.0,47.5,4.75,0.16,0.32,6.67,1.0,25.74,75.0,10.0,3.1,7.0,128.0,5.57,0.3,0.25,8.16,4.0,25.38,70.0,23.0,3.04,14.0,,,,,
Randal Grichuk,DH,FA,435.0,4.18,104.06698564593302,2.1044137931034483,0.27,-0.55,11.5,35.2,73.8,34.5,8.62,0.01,0.73,0.0,0.0,29.41,100.0,4.0,2.75,1.0,47.5,4.75,-0.38,0.36,0.0,0.0,38.3,100.0,10.0,2.3,1.0,102.5,4.88,0.72,0.02,13.79,4.0,36.71,85.71,21.0,2.05,6.0,0.03,-0.75,11.7,31.5,71.9
