Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Braydon Risley,Available,PIT,Florida State League,A,No,21.0,,2.0,9.2,1.7,104.5,77.2,233.5,102.5,2.47,115.6,60.48468916834379,113.4,1.0,0.0,0.0,0.0,0.0,0.0,3.3,3.0,0.6,0.25,0.0,0.273,0.273,0.75,0.25,0.625,0.125,0.0,0.0
Bryan Salgado,Not in Fantrax,CIN,Florida State League,A,Yes,19.0,,2.0,27.1,3.3,115.5,226.3,239.5,91.1,2.62,106.2,99.903578913402,113.3,1.8,1.0,0.0,1.35,0.0,0.0,6.7,10.0,1.05,0.273,0.12,0.4,0.28,0.666,0.25,0.583,0.167,0.5,0.5
Ixan Henderson,Available,STL,Florida State League,A,No,24.0,,2.0,19.8,3.7,91.4,164.8,197.6,117.1,3.69,124.6,42.75105015343483,112.3,4.6,0.0,1.0,3.68,2.0,0.0,7.3,9.0,0.82,0.154,0.115,0.346,0.231,0.857,0.071,0.571,0.357,0.2,0.2
Rafael Arias,Not in Fantrax,NYY,Florida State League,A,Yes,22.0,,8.0,12.1,1.8,99.7,100.9,244.6,103.7,3.37,117.7,94.92449775142282,112.2,7.7,1.0,0.0,3.21,0.0,0.0,14.0,20.0,0.93,0.286,0.071,0.357,0.286,0.759,0.207,0.517,0.276,0.25,0.125
Edgar Gallegos,Not in Fantrax,TOR,Florida State League,A,Yes,20.0,,1.0,26.8,3.0,109.7,223.2,171.1,102.5,4.11,109.3,85.04805431191397,112.2,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.33,0.125,0.0,0.2,0.2,0.75,0.25,0.375,0.375,0.0,0.0
Joe Ruzicka,Available,DET,Florida State League,A,Yes,22.0,,8.0,7.8,1.4,99.7,64.7,82.1,122.1,5.13,117.4,138.18263743943209,112.1,7.7,0.0,0.0,6.35,0.0,0.0,11.3,14.0,1.41,0.222,0.173,0.269,0.096,0.893,0.071,0.643,0.286,0.5,0.125
Austin Brown,Available,NYM,Florida State League,A,Yes,21.0,,3.0,13.0,2.1,104.5,108.5,153.1,109.3,4.52,113.4,128.96211516743946,112.0,7.9,0.0,1.0,0.0,0.0,0.0,6.3,8.0,1.26,0.294,0.107,0.286,0.179,0.8,0.2,0.333,0.467,0.429,0.0
Dylan Mathiesen,Available,PIT,Florida State League,A,Yes,22.0,,8.0,8.8,1.4,99.7,73.8,142.8,114.8,4.78,117.2,50.491136760453614,111.9,12.0,1.0,0.0,1.64,0.0,0.0,11.0,12.0,0.82,0.16,0.119,0.286,0.167,0.84,0.16,0.36,0.48,0.333,0.0
Juan Fraide,Available,HOU,Carolina League,A,Yes,20.0,,14.0,28.0,4.5,109.1,214.1,152.2,104.7,4.19,109.4,113.93271561959644,111.9,58.4,6.0,2.0,2.89,9.0,1.0,62.3,69.0,1.12,0.266,0.093,0.267,0.174,0.777,0.19,0.431,0.379,0.259,0.086
Javier González,Available,BAL,Carolina League,A,Yes,20.0,,10.0,7.0,1.1,109.1,53.2,93.6,111.1,5.62,109.1,104.40631415964494,111.7,17.6,0.0,1.0,5.56,0.0,2.0,11.3,9.0,1.59,0.308,0.054,0.161,0.107,0.825,0.1,0.45,0.45,0.222,0.167
