Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Jose Olivares,Available,MIN,Florida State League,A,No,23.0,,1.0,21.0,3.0,95.4,175.2,379.7,136.7,2.22,158.0,136.7,2.5,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.444,0.444,1.0,0.0,0.5,0.5,0.0,0.0
Jonatan Bernal,Available,ARI,Northwest League,A+,No,24.0,,2.0,18.6,2.2,96.5,145.9,370.1,135.1,1.78,157.0,136.7,3.0,0.0,0.0,2.08,0.0,0.0,4.3,7.0,0.69,0.375,0.0,0.467,0.467,1.0,0.0,0.625,0.375,0.0,0.0
Javen Coleman,Available,TOR,Florida Complex League,CPX,No,24.0,,2.0,18.5,1.0,86.5,173.7,905.0,130.4,-0.76,163.9,135.8,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.833,0.833,1.0,0.0,1.0,0.0,0.0,0.0
Cesar Rojas,Available,WSH,Florida Complex League,CPX,No,24.0,,1.0,9.0,1.0,86.5,84.5,724.6,130.4,1.57,163.9,135.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,1.0,0.0
Johan Otanez,Available,WSN,Florida Complex League,CPX,No,24.0,,1.0,5.0,0.7,86.5,46.9,543.2,130.4,3.24,163.9,135.8,1.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0
Keyner Cedeno,Not in Fantrax,MIA,Dominican Summer League,R,Yes,18.0,,18.0,19.2,2.2,103.2,199.2,632.9,113.8,3.31,149.5,135.4,23.2,5.0,2.0,2.54,1.0,3.0,39.0,63.0,1.05,0.299,0.105,0.389,0.284,0.903,0.082,0.616,0.301,0.364,0.045
Landon Koenig,Available,NYM,Florida State League,A,Yes,21.0,,1.0,11.8,1.0,104.5,98.0,284.8,136.7,1.77,148.5,135.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.333,0.333,1.0,0.0,1.0,0.0,0.0,0.0
Matt Jachec,Available,CLE,Arizona Complex League,CPX,No,24.0,,3.0,12.0,1.3,86.5,112.8,552.6,129.5,0.9,163.2,135.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,1.0,0.0,0.0,0.0
Alejandro Martinez,Not in Fantrax,COL,Dominican Summer League,R,Yes,17.0,,3.0,9.4,1.2,109.2,97.7,742.1,108.0,2.46,144.4,135.3,2.3,0.0,0.0,0.0,0.0,0.0,3.7,6.0,0.82,0.25,0.067,0.4,0.333,0.857,0.143,0.571,0.286,0.5,0.0
Brandon Clarke,Lászlaró Tóth (MINORS),STL,Florida Complex League,CPX,No,23.0,,1.0,11.0,1.7,90.2,103.3,434.6,130.4,4.44,159.9,135.2,1.0,0.0,0.0,0.0,1.0,0.0,1.7,2.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.5,0.5,0.0,0.0
Jose Varela,Available,HOU,Florida Complex League,CPX,No,21.0,,1.0,38.8,4.0,98.8,363.8,362.9,130.4,3.15,152.8,135.1,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.25,0.0,0.083,0.417,0.334,1.0,0.0,0.667,0.333,1.0,0.0
Luis Velasquez,Available,NYY,Florida State League,A,No,24.0,,2.0,17.9,1.2,91.4,149.2,380.6,136.7,1.49,158.1,134.6,1.5,1.0,0.0,0.0,0.0,0.0,2.3,5.0,0.43,0.0,0.111,0.556,0.445,1.0,0.0,0.5,0.5,0.0,0.0
Adam Tulloch,Available,CLE,Midwest League,A+,No,25.0,,1.0,27.0,2.0,91.9,219.8,377.2,134.3,3.2,157.6,134.5,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.429,0.429,1.0,0.0,0.667,0.333,0.0,0.0
Dylan Tebrake,Available,WSH,Carolina League,A,Yes,26.0,,1.0,8.8,1.0,83.9,67.0,437.5,134.7,2.46,163.8,134.3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.0
Riley Quick,Available,MIN,Florida State League,A,No,22.0,,3.0,20.7,2.7,99.7,172.4,305.3,136.7,2.27,150.6,134.2,3.0,0.0,0.0,0.0,3.0,0.0,8.0,13.0,0.5,0.083,0.107,0.464,0.357,1.0,0.0,0.75,0.25,0.333,0.0
Bennett Sousa,Available,HOU,Texas League,AA,No,31.0,,2.0,21.5,1.3,79.1,183.1,683.2,138.8,-0.81,167.5,134.1,1.0,1.0,0.0,0.0,0.0,0.0,2.7,7.0,0.0,0.0,0.0,0.875,0.875,1.0,0.0,0.0,1.0,0.0,0.0
DJ Herz,Available,WSH,Florida Complex League,CPX,No,25.0,,2.0,19.5,2.5,83.0,183.1,543.2,130.4,1.57,163.9,133.9,2.3,0.0,0.0,0.0,2.0,0.0,5.0,8.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.714,0.286,0.5,0.0
Noah Dean,Available,WSH,Florida Complex League,CPX,No,25.0,,2.0,16.6,1.7,83.0,156.1,493.2,130.4,1.54,163.9,133.9,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.0,0.9,0.5,0.091,0.545,0.454,1.0,0.0,1.0,0.0,0.0,0.0
Dalton Rogers,Available,BOS,Florida Complex League,CPX,No,25.0,,1.0,12.5,1.3,83.0,117.4,543.2,130.4,1.74,163.9,133.9,2.0,0.0,0.0,0.0,1.0,0.0,1.3,3.0,1.5,0.667,0.0,0.5,0.5,1.0,0.0,0.333,0.667,0.5,0.0
Travis Adams,Available,MIN,Florida State League,A,No,26.0,,2.0,7.5,1.0,84.4,62.6,427.6,136.7,1.61,162.8,133.9,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.667,0.333,0.0,0.0
Rohan Lettow,Available,PIT,Florida State League,A,Yes,20.0,,1.0,5.8,1.0,109.7,48.0,213.8,136.7,5.12,141.4,133.6,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.333,0.0,0.25,0.25,1.0,0.0,0.333,0.667,0.5,0.0
Tyler Gough,Available,LAD,Arizona Complex League,CPX,No,22.0,,2.0,12.5,1.5,94.4,117.5,382.0,129.5,1.73,153.9,133.5,1.0,0.0,0.0,6.0,2.0,0.0,3.0,7.0,1.33,0.6,0.077,0.538,0.461,1.0,0.0,0.8,0.2,0.0,0.0
Mick Abel,Bobby and the NitWitts (INJURED_RESERVE),MIN,International League,AAA,Yes,24.0,,2.0,29.2,4.0,113.2,270.7,261.1,125.6,3.05,138.4,133.5,8.6,1.0,0.0,1.13,2.0,0.0,8.0,10.0,0.75,0.263,0.0,0.333,0.333,0.9,0.05,0.5,0.45,0.333,0.111
Phil Fox,Available,CHW,Arizona Complex League,CPX,No,23.0,,2.0,20.4,1.8,90.3,191.5,414.3,129.5,3.26,157.1,133.4,4.0,0.0,0.0,0.0,0.0,1.0,3.7,6.0,0.27,0.167,0.0,0.5,0.5,1.0,0.0,0.333,0.667,0.0,0.0
Jack Pineau,Available,SD,California League,A,No,21.0,,1.0,6.0,1.0,104.2,49.0,272.3,132.7,4.05,145.7,133.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.5,0.5,1.0,0.0
John Damozonio,Available,ATL,Carolina League,A,Yes,22.0,,1.0,31.0,3.7,99.2,237.3,291.4,134.7,2.24,149.2,132.9,2.0,1.0,0.0,0.0,0.0,0.0,3.7,4.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.75,0.25,0.0,0.0
Gavin Guidry,Available,NYM,Florida State League,A,Yes,22.0,,1.0,6.0,1.0,99.7,50.1,284.8,136.7,3.45,148.5,132.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.5,0.5,0.0,0.0
Oscar Borges,Available,PIT,Dominican Summer League,R,Yes,17.0,,1.0,5.5,2.0,109.2,57.0,278.6,126.0,6.19,140.5,132.7,3.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.125,0.125,1.0,0.0,0.4,0.6,0.0,0.0
Ryne Nelson,Available,ARI,California League,A,Yes,28.0,,1.0,9.0,1.0,78.2,73.5,545.4,132.7,2.05,166.0,132.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,0.0,0.0
Kai Wynyard,Available,TEX,Texas League,AA,Yes,24.0,,1.0,6.0,1.0,102.1,51.1,260.0,138.8,3.67,146.0,132.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.5,0.5,0.0,0.0
R.J. Sales,Available,WSH,South Atlantic League,A+,Yes,22.0,,2.0,21.0,3.3,105.5,168.8,227.3,136.2,2.84,142.7,132.2,2.0,0.0,1.0,1.35,1.0,0.0,6.7,9.0,0.6,0.182,0.087,0.391,0.304,1.0,0.0,0.818,0.182,0.0,0.0
Brett Sears,Available,ATL,Florida Complex League,CPX,No,26.0,,1.0,28.8,3.7,79.8,269.9,543.2,130.4,2.14,163.9,132.1,1.0,0.0,0.0,0.0,1.0,0.0,3.7,6.0,0.27,0.2,0.0,0.5,0.5,1.0,0.0,0.8,0.2,0.0,0.0
Cole Henry,Available,WSH,Florida Complex League,CPX,No,26.0,,1.0,9.0,1.0,79.8,84.5,724.6,130.4,0.24,163.9,132.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,1.0,0.0,0.0,0.0
Marco Jimenez,Available,DET,Florida Complex League,CPX,No,26.0,,1.0,9.0,1.0,79.8,84.5,724.6,130.4,1.57,163.9,132.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,1.0,0.0,0.0
Harry Blum,Available,BOS,South Atlantic League,A+,Yes,24.0,,1.0,31.8,3.0,96.7,255.2,299.1,136.2,2.56,149.9,132.1,2.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.33,0.0,0.1,0.5,0.4,1.0,0.0,0.5,0.5,0.0,0.0
Jesus Delgado,Available,OAK,Dominican Summer League,R,Yes,20.0,,10.0,11.6,1.6,92.9,119.8,432.3,122.6,4.46,152.9,132.0,17.9,1.0,2.0,4.02,0.0,2.0,15.7,19.0,1.28,0.35,0.09,0.284,0.194,0.973,0.026,0.526,0.447,0.059,0.0
JoJo Romero,Available,MIL,Midwest League,A+,Yes,29.0,,2.0,8.9,1.0,79.2,72.3,439.6,134.3,1.33,163.8,131.7,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,0.167,0.667,0.5,1.0,0.0,1.0,0.0,0.0,0.0
Alvin De Leon,Not in Fantrax,CHC,Dominican Summer League,R,Yes,18.0,,12.0,17.0,2.3,103.2,176.1,470.2,107.9,4.07,144.0,131.7,30.4,7.0,1.0,0.64,1.0,0.0,28.0,26.0,0.89,0.276,0.028,0.239,0.211,0.857,0.129,0.471,0.4,0.25,0.036
Brendan Cellucci,Available,TOR,Eastern League,AA,No,28.0,,1.0,16.8,1.7,88.4,133.8,360.3,137.1,1.71,156.1,131.6,1.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0,0.6,0.0,0.167,0.667,0.5,1.0,0.0,0.0,1.0,0.0,0.0
