League Name,League Level,Age,Players,Total PA,Weighted K%,Weighted BB%,Weighted LD%,Weighted wRC+
International League,AAA,29,86,10728,0.2269761367306115,0.11195003675671143,0.23418836763777034,94.09210783596124
International League,AAA,30,55,7907,0.21778171192196788,0.10990261739420766,0.22861267893765017,100.96176106923356
International League,AAA,31,38,6006,0.22560772501814857,0.09490509448468198,0.22880291639560443,89.62319083303947
International League,AAA,32,23,3731,0.2216563919713214,0.10506566561377645,0.23701353978424014,102.44419058499989
International League,AAA,33,17,1970,0.21928933965380712,0.11167512639492386,0.2402943393258883,88.86341036462215
International League,AAA,34,15,1613,0.23930564118660885,0.10973341546373215,0.23561720971543712,94.63757906286335
International League,AAA,35,7,519,0.23506743691714835,0.09826589558959536,0.24034535598651258,93.7041396494398
International League,AAA,36,4,350,0.25999999957714287,0.10857142786571428,0.22344331053142857,79.7268680521386
International League,AAA,37,1,41,0.365853658,0.170731707,0.10526315699999998,21.654927600992057
International League,AAA,38,1,40,0.3,0.125,0.217391304,33.293768127184265
Pacific Coast League,AAA,19,3,229,0.1790393010786026,0.14410480317903931,0.23151622910480352,126.95337639534209
Pacific Coast League,AAA,20,6,703,0.25035561838549075,0.1095305824110953,0.23600801656614512,95.0542501572014
Pacific Coast League,AAA,21,8,707,0.2418670433719943,0.12729844367326734,0.26383240831400284,112.92540790123893
Pacific Coast League,AAA,22,24,3099,0.196192319630526,0.10939012536495643,0.24132520747983222,103.83690150545117
Pacific Coast League,AAA,23,45,7446,0.20883695899180768,0.11536395328404513,0.23619666115122212,99.962273483766
Pacific Coast League,AAA,24,53,9003,0.23014550664711764,0.1058536038593802,0.2391256829966678,104.72568252047088
Pacific Coast League,AAA,25,51,6781,0.20926117048812862,0.11060315537339627,0.24853532144904877,95.26127825450416
Pacific Coast League,AAA,26,67,11798,0.21300220328081032,0.11917274069884726,0.25125170564036275,106.65685589835705
Pacific Coast League,AAA,27,73,11490,0.21697127892184515,0.11375108747084423,0.2597158663183638,97.98763368436708
Pacific Coast League,AAA,28,51,8069,0.2152683104057504,0.11537984837848556,0.24882529211575163,104.08472337494015
Pacific Coast League,AAA,29,38,7188,0.2141068442941013,0.11908736739899835,0.24896156966193658,95.92770963966261
Pacific Coast League,AAA,30,39,5836,0.21058944434869775,0.11446195982847843,0.2426633330260452,86.23651388828074
Pacific Coast League,AAA,31,23,2930,0.20443685957781574,0.10546075038532425,0.2372145903003413,91.9601351111895
Pacific Coast League,AAA,32,18,2919,0.20383692999109282,0.1096265838746146,0.25874343850736553,103.90805101768142
Pacific Coast League,AAA,33,15,2285,0.2135667391483589,0.11772428818118162,0.240833251833698,93.0820372890015
Pacific Coast League,AAA,34,14,1334,0.22938530692428785,0.12068965462593706,0.24789378017766114,96.78194912127368
Pacific Coast League,AAA,35,8,903,0.1971207084341085,0.11738648875747507,0.2636024850719823,88.7896745100825
Pacific Coast League,AAA,37,1,39,0.256410256,0.128205128,0.291666666,59.13672239556326
Pacific Coast League,AAA,40,1,28,0.178571428,0.107142857,0.25,1.9956021231793424
Arizona Complex League,CPX,17,13,1489,0.23304230980120888,0.10409670888179988,0.1623963744533244,87.7329360640642
Arizona Complex League,CPX,18,105,11879,0.23377388623276377,0.12122232460030305,0.20162760399427557,101.88175471345934
Arizona Complex League,CPX,19,166,14724,0.2542787281240152,0.1213664760453002,0.18798771687360774,98.66226518000933
Arizona Complex League,CPX,20,127,8414,0.24815783174673167,0.11932493420822439,0.1983587039253625,98.19611068604343
Arizona Complex League,CPX,21,71,3307,0.26217115167251287,0.11974599297066829,0.18667072278953734,92.4542038871607
