Player Name,Team,League Name,AB,wRC+,Age+ RobustZ+,Approach+ RobustZ+,Speed+ RobustZ+,LD%+ RobustZ+,HR/FB+ RobustZ+,5 Tool RobustZ+,Hitter RobustZ+
Jonathan Mejia,STL,Florida State League,273,81.0422598457746,109.56147035034397,91.14090107907376,119.45778532160561,86.46459176004718,113.49755035525541,104.02445977326519,97.0343477314588
Ichiro Cano,CIN,Florida State League,65,78.97564842780513,109.56147035034397,90.98402039906665,87.94933505868143,132.58129541702573,74.61752994193085,99.13873023340973,99.39428191934108
Yasser Mercedes,MIN,Florida State League,355,77.25830555379075,109.56147035034397,99.80876710260728,104.46027127183186,102.13717341484816,105.11166338598137,104.21586910512254,102.35253463447894
Jhonny Severino,PIT,Florida State League,423,77.11460794546981,109.56147035034397,86.86250988722104,91.78105722813447,94.35614332689308,103.36914143045847,97.1860644446102,94.86259821485753
Carson Rucker,DET,Florida State League,387,75.52379927527414,109.56147035034397,88.17010005098729,104.46806511345389,134.09746127428923,79.12535820181301,103.08449099817749,100.46430650902984
Jacob McCombs,MIN,Florida State League,28,75.11530287966711,109.56147035034397,69.76393751351449,104.54946715166757,106.99600123222805,74.61752994193085,93.09768123793698,83.7924895625578
Manolfi Jimenez,PHI,Florida State League,81,71.07381337844744,109.56147035034397,95.82467411947215,86.62922780509862,83.36805146337333,74.61752994193085,90.00019073604378,84.60341850825877
Daniel Pena,MIN,Florida State League,181,70.77683048953017,109.56147035034397,127.64952334347267,72.40130955069007,104.85013768017902,89.42896609731534,100.77828140440022,107.30954237365567
Jose Rodriguez,MIN,Florida State League,215,69.55033157360305,109.56147035034397,90.25241475994594,90.52731472864613,72.24582511153898,118.27228964423489,96.17186291894198,93.59017650523992
Ryan Weingartner,STL,Florida State League,69,67.60739500348329,109.56147035034397,102.59803572194971,104.93088955042302,59.48045393872137,74.61752994193085,90.23767590067379,78.89867320086732
Nikau Pouaka-Grego,PHI,Florida State League,86,66.97090328359077,109.56147035034397,108.75886735579432,70.44754323495245,110.35568611218162,86.58061300247371,97.14083601114922,101.89838882348322
Anthuan Valencia,CIN,Florida State League,14,62.579913092356186,109.56147035034397,100.69460976547929,107.8662576173415,45.40177370264228,74.61752994193085,87.62832827554757,73.57130447001747
TJayy Walton,PHI,Florida State League,125,61.6256200411235,109.56147035034397,85.89635238060436,122.72828156413304,127.29607017730018,74.61752994193085,104.01994088286247,95.93665083327846
Jesus  Baez,NYM,Florida State League,23,58.94167218832006,109.56147035034397,141.14241182692,80.39016163224704,-3.873608232330639,74.61752994193085,80.36759310382226,70.62877784550675
Enderson Delgado,DET,Florida State League,102,55.78943525916586,109.56147035034397,93.55615285181636,71.03244176843954,91.15748546772582,94.05754014859312,91.87301811738378,92.9237261560451
Juan Villavicencio,PHI,Florida State League,82,55.58637838820511,109.56147035034397,98.58299653727028,108.30414490126815,102.88971907170482,95.35354062167717,102.93837429645286,98.94208541021742
Jack Barker,PHI,Florida State League,29,55.510931989696275,109.56147035034397,100.08663581360852,85.14523129800482,70.03946444838951,74.61752994193085,87.89006637045553,81.5812100679763
Nolan Beltran,PHI,Florida State League,115,49.94617119909264,109.56147035034397,120.92153782230763,70.76516084654213,64.70553152835555,83.02402083370264,89.79554427625038,89.55036339478862
Sam Robertson,NYM,Florida State League,58,47.45684122481359,109.56147035034397,84.31954796901617,109.66062840159296,110.5724401899908,74.61752994193085,97.74632337057494,89.83650603364595
Julio Henriquez,MIA,Florida State League,104,42.638080656937696,109.56147035034397,85.66922292428532,109.9220202322853,82.35831004300236,74.61752994193085,92.42571069836956,80.88168763640618
Heriberto Caraballo,STL,Florida State League,61,41.151530408076994,109.56147035034397,93.97653193403399,93.50871406664999,73.73511839286044,95.35354062167717,93.22707507311311,87.68839698285718
Luke Scherrer,PIT,Florida State League,55,36.11132824271916,109.56147035034397,89.84174228032356,89.39704511182485,57.72061885377668,74.61752994193085,84.22768130763998,74.05996369201036
Carlos Caro,PIT,Florida State League,141,29.421574842324024,109.56147035034397,84.95240060210443,105.82158081779625,85.8186600935654,74.61752994193085,92.15432836114817,81.79619687920022
Guillermo Rosario,PHI,Florida State League,87,-1.1566643826483731,109.56147035034397,79.93850074086197,59.657885608739946,86.6321951225885,95.35354062167717,86.2287184888423,87.30807882837587
Ricardo Pena,MIN,Florida State League,40,-6.326388001075933,109.56147035034397,69.76393751351449,77.81726472839357,70.03946444838951,74.61752994193085,80.35993339651449,71.47364396794495
Roinny Aguiar,PIT,Florida State League,3,-100.0,109.56147035034397,69.76393751351449,58.819760459519784,-3.873608232330639,74.61752994193085,61.777818006595695,46.83595307437157
Jackson Lovich,NYY,Florida State League,22,350.56984790672567,99.16242150394034,160.17667170568947,128.2963475216839,229.5360956935136,74.61752994193085,138.3578132733516,154.77676578037799
Adonys Guzman,PIT,Florida State League,5,271.33468699009785,99.16242150394034,104.64602883826531,77.81726472839357,84.82207933931632,385.6576932485273,150.42109753168856,191.70860047536965
