Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Hendry Mendez","PHI","AA",21,349,0.11461318,0.126074498,0.909090909,0.289562289,0.373563218,0.434343434,0.807906652,0.144781145,5.215047852689378,0.309523809,-0.43790279887616634,53.79997862517221,13.91592047750337,0.37026953525926876,129.5513955089049,"sa3015727"
"Thayron Liranzo","DET","AA",21,394,0.11928934,0.317258883,0.376,0.206489675,0.30788804,0.351032448,0.658920488,0.144542773,1.7584231775,0.286407766,-1.098188104107976,42.83440107280331,-2.192300675567814,0.30983848001514075,97.03490149982872,"sa3015790"
"Bryant Betancourt","COL","AA",21,344,0.101744186,0.188953488,0.538461538,0.234323432,0.313953488,0.363036303,0.676989791,0.128712871,2.843698678001826,0.262931034,-0.8392943209037185,38.84590054092391,-0.4667527622224603,0.315434162699899,97.6723075052881,"sa3015846"
"Luis Valdez","BAL","AA",25,138,0.028985507,0.347826086,0.083333333,0.181102362,0.210526315,0.244094488,0.454620803,0.062992126,9.67092561044861,0.2875,1.7322534685954452,4.686735953086096,-11.084037755734247,0.210416715396078,22.373539562584977,"sa3016076"
"Allan Castro","BOS","AA",22,388,0.113402061,0.203608247,0.556962025,0.267647058,0.353092783,0.4,0.753092783,0.132352942,5.364520987264346,0.328125,0.539690550416708,53.77362996883048,9.432614033886324,0.3495714311132726,119.17004110916987,"sa3016084"
"Diego Velasquez","SFG","AA",21,566,0.123674911,0.14310954,0.86419753,0.255813953,0.361510791,0.31501057,0.676521361,0.059196617,4.624447495125913,0.302798982,-0.6649876972660422,67.98124048811977,3.298212088175459,0.3249887584565996,106.50542362189836,"sa3016144"
"Enderso Lira","BOS","AA",21,12,0.166666666,0.166666666,1,0.1,0.25,0.4,0.65,0.3,0.14285714,0,-0.023365704342722893,1.2291154225421619,-0.14225620431178093,0.30147234598795575,87.48065487371059,"sa3016145"
"Luis Ravelo","BOS","AA",21,108,0.074074074,0.37037037,0.2,0.161616161,0.222222222,0.222222222,0.444444444,0.060606061,1.6917701775,0.254237288,-0.23365704342722893,3.8827471981641826,-8.459597443521304,0.21306270140188713,29.233239836018583,"sa3016171"
"Ahbram Liendo","BOS","AA",21,463,0.103671706,0.241900647,0.428571428,0.238916256,0.322510822,0.307881773,0.630392595,0.068965517,6.971300878411903,0.31632653,4.072903084568679,46.92176132545503,-5.99032727732626,0.30003147233616223,86.53135611783574,"sa3016173"
"Victor Juarez","COL","AA",22,0,0,0,0,0,0,0,0,0,0.14285714,0,0,0,0,0,-100,"sa3016226"
"Frederick Bencosme","BAL","AA",22,227,0.088105726,0.162995594,0.54054054,0.191919191,0.265765765,0.318181818,0.583947583,0.126262627,3.0715641148203696,0.202531645,-0.7364521641284227,18.399940969199445,-7.541838972120974,0.27305185177304725,63.63979282684324,"sa3016779"
