Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Payton Henry","PHI","AAA",28,65,241,269,60,42,7,0,11,35,47,20,0,70,7,1,0,10,1,0,0.248962655,"22164"
"Ryan Vilade","CIN","AAA",26,113,397,461,115,65,29,4,17,75,66,50,0,89,9,4,1,6,11,2,0.289672544,"22165"
"Akil Baddoo","DET","AAA",26,103,385,457,108,66,21,6,15,71,48,68,1,112,0,4,0,4,25,4,0.28051948,"22168"
"Cal Mitchell","CHW","AAA",26,10,27,27,3,2,1,0,0,0,0,0,0,14,0,0,0,0,1,1,0.111111111,"22169"
"Mark Vientos","NYM","AAA",25,6,23,26,4,2,2,0,0,4,3,3,0,3,0,0,0,2,0,0,0.173913043,"22184"
"MJ Melendez","KCR","AAA",26,107,433,480,113,57,33,3,20,70,64,39,0,135,3,5,0,2,20,8,0.260969976,"22197"
"Jeremiah Jackson","BAL","AAA",25,40,162,171,61,35,15,0,11,29,22,6,0,20,1,1,0,8,9,4,0.376543209,"22239"
"Jack Suwinski","PIT","AAA",26,56,191,230,54,29,10,1,14,45,51,31,0,69,4,3,1,2,6,0,0.282722513,"22244"
"Xavier Edwards","MIA","AAA",25,2,7,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.142857142,"22266"
"Cal Stevenson","PHI","AAA",28,87,278,346,66,48,11,1,6,48,38,59,1,78,1,4,4,5,22,4,0.237410071,"22411"
"Livan Soto","BAL","AAA",25,96,313,366,61,51,5,0,5,42,30,44,2,80,5,2,2,4,3,1,0.194888178,"22471"
"Buddy Kennedy","TOR","AAA",26,88,328,384,92,66,17,1,8,50,49,43,0,55,10,3,0,4,4,1,0.280487804,"22505"
"Johnathan Rodriguez","CLE","AAA",25,87,324,373,101,68,16,1,16,48,66,43,1,86,4,2,0,7,0,2,0.311728395,"22530"
"George Valera","CLE","AAA",24,28,94,107,24,13,6,2,3,11,10,13,0,27,0,0,0,1,0,0,0.255319148,"22541"
"Michael Siani","STL","AAA",25,101,368,430,77,53,12,4,8,64,41,50,0,106,4,5,3,4,28,5,0.20923913,"22557"
"Jarred Kelenic","ATL","AAA",25,95,362,399,77,53,17,3,4,40,29,36,0,110,1,0,0,7,11,8,0.212707182,"22558"
"Gabriel Arias","CLE","AAA",25,4,13,16,4,3,0,0,1,1,1,3,0,3,0,0,0,1,0,1,0.307692307,"22563"
"Alejandro Kirk","TOR","AAA",26,1,3,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.333333333,"22581"
"Steward Berroa","MIL","AAA",26,50,159,191,31,24,6,0,1,29,11,26,0,57,0,4,2,0,20,6,0.194968553,"22766"
"Wenceel Perez","DET","AAA",25,2,9,9,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.111111111,"22857"
"Lenyn Sosa","CHW","AAA",25,3,10,10,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.1,"22896"
"David Banuelos","BAL","AAA",28,21,56,63,6,2,3,0,1,4,2,7,0,21,0,0,0,0,0,0,0.107142857,"23250"
"Jacob Amaya","CHW","AAA",26,58,188,219,47,33,5,0,9,25,28,29,0,64,1,1,0,4,5,4,0.25,"23296"
"Ryan Noda","CHW","AAA",29,36,93,137,22,12,4,0,6,26,19,35,2,41,6,3,0,1,4,0,0.236559139,"23312"
"Nelson Velazquez","KCR","AAA",26,51,188,210,44,27,5,1,11,25,31,21,0,49,0,1,0,1,5,1,0.234042553,"23359"
"Jose Barrero","STL","AAA",27,76,282,319,63,39,11,1,12,37,40,29,0,95,5,3,0,3,14,4,0.223404255,"23378"
"Max Lazar","PHI","AAA",26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23426"
"Luis Vazquez","BAL","AAA",25,43,155,174,42,31,5,1,5,19,23,13,0,37,4,0,2,9,4,2,0.270967741,"23442"
"Tom Cosgrove","CHC","AAA",29,40,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"23443"
