Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Ryan Clifford","NYM","AA",21,437,0.277777777,0.990099009,0.205533596,0.395256916,0.399209486,0.247524752,0.237623762,0.4453125,0.234375,0.3203125,0.10076253,741,1095,1836,"sa3020126"
"Matt Higgins","SFG","AA",25,60,0.255813953,1.538461538,0.232558139,0.465116279,0.302325581,0.23076923,0,0.46511628,0.25581395,0.27906977,0.10055866,63,116,179,"sa3020128"
"Nick Cimillo","PIT","AA",25,455,0.263888888,0.757142857,0.18,0.353333333,0.466666666,0.228571428,0.142857142,0.4869281,0.29738562,0.21568627,0.10806075,662,1050,1712,"sa3020129"
"Jett Williams","NYM","AA",21,421,0.357429718,0.681818181,0.27734375,0.29296875,0.4296875,0.345454545,0.09090909,0.44061303,0.24904215,0.31034483,0.09829311,709,990,1699,"sa3020134"
"Carter Howell","SFG","AA",26,439,0.271777003,0.831858407,0.288659793,0.323024054,0.388316151,0.265486725,0.061946902,0.40955631,0.27986348,0.3105802,0.08756889,578,1055,1633,"sa3020139"
"Devonte Brown","TOR","AA",25,218,0.25,1.045454545,0.196428571,0.410714285,0.392857142,0.181818181,0.136363636,0.47457627,0.24576271,0.27966102,0.09401709,389,547,936,"sa3020189"
"Michael Turconi","CLE","AA",26,85,0.210526315,1.5,0.210526315,0.47368421,0.315789473,0.083333333,0,0.42105263,0.13157895,0.44736842,0.12276215,154,237,391,"sa3020195"
"Cade Doughty","TOR","AA",24,373,0.296153846,1,0.20610687,0.396946564,0.396946564,0.307692307,0.038461538,0.47191011,0.19850187,0.32958801,0.14605067,440,902,1342,"sa3020196"
"Cortland Lawson","WSN","AA",25,114,0.277777777,1.842105263,0.25,0.486111111,0.263888888,0.157894736,0.052631578,0.4,0.22666667,0.37333333,0.11566265,149,266,415,"sa3020202"
"Termarr Johnson","PIT","AA",21,503,0.326347305,1.462962962,0.213017751,0.467455621,0.319526627,0.175925925,0.083333333,0.42651297,0.26224784,0.31123919,0.1090535,772,1172,1944,"sa3020214"
"Mikey Romero","BOS","AA",21,297,0.319148936,0.8625,0.231958762,0.355670103,0.412371134,0.2125,0.1,0.43,0.28,0.29,0.14424779,397,733,1130,"sa3020216"
"Ryan McCarty","TOR","AA",26,377,0.298701298,1.037037037,0.282608695,0.365217391,0.352173913,0.185185185,0.049382716,0.3787234,0.27234043,0.34893617,0.11118211,593,972,1565,"sa3020244"
"Maxwell Romero Jr.","WSN","AA",24,316,0.286585365,1.263157894,0.22754491,0.431137724,0.341317365,0.175438596,0.122807017,0.54022989,0.22413793,0.23563218,0.16704805,493,818,1311,"sa3020271"
